"Species","Freq"
"Homo sapiens (Human)",92
"Mus musculus (Mouse)",20
"Rattus rattus (Black rat)",5
"cellular organisms",5
"Escherichia coli",4
"Gallus gallus",3
"Caenorhabditis elegans",3
"Arabidopsis thaliana (Mouse-ear cress)",3
"Syntrophus aciditrophicus SB",2
"Meyerozyma guilliermondii",2
"Bos taurus",2
"Zea mays",1
"Strongyloides venezuelensis",1
"Staphylococcus aureus",1
"Solanum lycopersicum",1
"Serratia marcescens",1
"Oryza sativa",1
"none",1
"Natrialba magadii ATCC 43099",1
"Methanococcus maripaludis",1
"Malassezia sympodialis",1
"honeybee (Apis mellifera L.)",1
"Helicobacter pylori F16",1
"Haloferax volcanii DS2",1
"Glycine max",1
"Cyanidioschyzon merolae strain 10D",1
"Crocodylus siamensis",1
"Clostridium cellulovorans 743B",1
"Ciona intestinalis Type A",1
"Andrographis paniculata",1
